coder_pair,substance,block,item_id,level_1,level_2,level_3,n_shared_scenes,n_A_coded,n_B_coded,both_yes,A_only,B_only,both_no,observed_agreement,expected_agreement,prevalence,cohens_kappa,kappa_SE,pabak,kappa_label
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_inorganic_entity_stone_rock,Visual hallucination,Inorganic entity,"Stone, rock",48,1,1,1,0,0,47,1.0,0.9592,0.0208,1.0,0.0,1.0,almost-perfect
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_inorganic_entity_earth_river_sky_cloud,Visual hallucination,Inorganic entity,"Earth, river, sky, cloud",48,3,1,1,2,0,45,0.9583,0.9193,0.0417,0.4839,0.3573,0.9167,moderate
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_inorganic_entity_other,Visual hallucination,Inorganic entity,Other,48,5,1,1,4,0,43,0.9167,0.8793,0.0625,0.3094,0.3306,0.8333,fair
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_extraordinary_entity_spirit,Visual hallucination,Extraordinary entity,Spirit,48,1,2,1,0,1,46,0.9792,0.9392,0.0312,0.6571,0.3393,0.9583,substantial
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_extraordinary_entity_chimera,Visual hallucination,Extraordinary entity,Chimera,48,0,1,0,0,1,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_extraordinary_entity_alien,Visual hallucination,Extraordinary entity,Alien,48,1,1,1,0,0,47,1.0,0.9592,0.0208,1.0,0.0,1.0,almost-perfect
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,visual_hallucination_extraordinary_entity_other,Visual hallucination,Extraordinary entity,Other,48,11,6,4,7,2,35,0.8125,0.7031,0.1771,0.3684,0.1898,0.625,fair
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_human_celebrityies,Auditory hallucination,Human,Celebrity(ies),48,1,1,1,0,0,47,1.0,0.9592,0.0208,1.0,0.0,1.0,almost-perfect
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_human_relatives_acquaintances,Auditory hallucination,Human,"Relative(s), acquaintance(s)",48,1,1,1,0,0,47,1.0,0.9592,0.0208,1.0,0.0,1.0,almost-perfect
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_human_unknown_persons,Auditory hallucination,Human,Unknown person(s),48,0,1,0,0,1,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_animal_insect,Auditory hallucination,Animal,Insect,48,1,0,0,1,0,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_plant_other,Auditory hallucination,Plant,Other,48,1,0,0,1,0,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
