scene_id,trip_id,substance,block,item_id,item_path,level_1,level_2,level_3,depth,A_coded,B_coded,agreement
Brugmansia_04_S08_AB,Brugmansia_04,brugmansia,01-10,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",2,True,False,A_ONLY
Brugmansia_04_S09_AB,Brugmansia_04,brugmansia,01-10,auditory_hallucination_artefact_other,Auditory hallucination | Artefact | Other,Auditory hallucination,Artefact,Other,2,True,True,AGREE
Brugmansia_04_S09_AB,Brugmansia_04,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,01-10,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,01-10,visual_hallucination_human_celebrityies,Visual hallucination | Human | Celebrity(ies),Visual hallucination,Human,Celebrity(ies),2,True,False,A_ONLY
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,01-10,visual_hallucination_human_historical_figures,Visual hallucination | Human | Historical figure(s),Visual hallucination,Human,Historical figure(s),2,False,True,B_ONLY
Brugmansia_04_S12_AB,Brugmansia_04,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_04_S12_AB,Brugmansia_04,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_04_S12_AB,Brugmansia_04,brugmansia,01-10,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,2,True,True,AGREE
Brugmansia_04_S13_AB,Brugmansia_04,brugmansia,01-10,auditory_hallucination_animal_mammal,Auditory hallucination | Animal | Mammal,Auditory hallucination,Animal,Mammal,2,False,True,B_ONLY
Brugmansia_04_S13_AB,Brugmansia_04,brugmansia,01-10,auditory_hallucination_animal_other,Auditory hallucination | Animal | Other,Auditory hallucination,Animal,Other,2,True,False,A_ONLY
Brugmansia_04_S13_AB,Brugmansia_04,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_04_S14_AB,Brugmansia_04,brugmansia,01-10,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_04_S14_AB,Brugmansia_04,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_04_S14_AB,Brugmansia_04,brugmansia,01-10,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",2,True,False,A_ONLY
Brugmansia_04_S15_AB,Brugmansia_04,brugmansia,01-10,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,True,AGREE
Brugmansia_06_S02_AB,Brugmansia_06,brugmansia,01-10,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,True,AGREE
Brugmansia_07_S01_AB,Brugmansia_07,brugmansia,01-10,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,True,AGREE
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,01-10,auditory_hallucination_animal_insect,Auditory hallucination | Animal | Insect,Auditory hallucination,Animal,Insect,2,False,True,B_ONLY
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,01-10,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,01-10,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,2,True,True,AGREE
Brugmansia_08_S02_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_08_S02_AB,Brugmansia_08,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_08_S02_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_inorganic_entity_earth_river_sky_cloud,"Visual hallucination | Inorganic entity | Earth, river, sky, cloud",Visual hallucination,Inorganic entity,"Earth, river, sky, cloud",2,True,False,A_ONLY
Brugmansia_08_S03_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_08_S03_AB,Brugmansia_08,brugmansia,01-10,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,1,True,False,A_ONLY
Brugmansia_08_S03_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,1,True,True,AGREE
Brugmansia_08_S04_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_08_S04_AB,Brugmansia_08,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_08_S04_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,True,AGREE
Brugmansia_08_S05_AB,Brugmansia_08,brugmansia,01-10,auditory_hallucination_human_relatives_acquaintances,"Auditory hallucination | Human | Relative(s), acquaintance(s)",Auditory hallucination,Human,"Relative(s), acquaintance(s)",2,True,False,A_ONLY
Brugmansia_08_S05_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_08_S05_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",2,False,True,B_ONLY
Brugmansia_08_S06_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination | Possible but improbable event,Modal status of the hallucination,Possible but improbable event,,1,True,False,A_ONLY
Brugmansia_08_S06_AB,Brugmansia_08,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_08_S06_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",2,True,False,A_ONLY
Brugmansia_08_S07_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_08_S07_AB,Brugmansia_08,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_08_S07_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,True,AGREE
Brugmansia_08_S08_AB,Brugmansia_08,brugmansia,01-10,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination | Possible but improbable event,Modal status of the hallucination,Possible but improbable event,,1,True,False,A_ONLY
Brugmansia_08_S08_AB,Brugmansia_08,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_08_S08_AB,Brugmansia_08,brugmansia,01-10,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,True,AGREE
Brugmansia_09_S01_AB,Brugmansia_09,brugmansia,01-10,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,True,AGREE
Brugmansia_09_S02_AB,Brugmansia_09,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,False,True,B_ONLY
Brugmansia_09_S02_AB,Brugmansia_09,brugmansia,01-10,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,False,A_ONLY
Brugmansia_09_S02_AB,Brugmansia_09,brugmansia,01-10,visual_hallucination_animal_mammal,Visual hallucination | Animal | Mammal,Visual hallucination,Animal,Mammal,2,False,True,B_ONLY
Brugmansia_09_S04_AB,Brugmansia_09,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_09_S04_AB,Brugmansia_09,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_09_S04_AB,Brugmansia_09,brugmansia,01-10,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",2,True,True,AGREE
Brugmansia_09_S05_AB,Brugmansia_09,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_09_S05_AB,Brugmansia_09,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_09_S05_AB,Brugmansia_09,brugmansia,01-10,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,2,True,False,A_ONLY
Brugmansia_09_S05_AB,Brugmansia_09,brugmansia,01-10,visual_hallucination_inorganic_entity_other,Visual hallucination | Inorganic entity | Other,Visual hallucination,Inorganic entity,Other,2,False,True,B_ONLY
Brugmansia_10_S02_AB,Brugmansia_10,brugmansia,01-10,auditory_hallucination_human_unknown_persons,Auditory hallucination | Human | Unknown person(s),Auditory hallucination,Human,Unknown person(s),2,False,True,B_ONLY
Brugmansia_10_S02_AB,Brugmansia_10,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_10_S02_AB,Brugmansia_10,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_10_S02_AB,Brugmansia_10,brugmansia,01-10,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,True,AGREE
Brugmansia_10_S03_AB,Brugmansia_10,brugmansia,01-10,auditory_hallucination_human_unknown_persons,Auditory hallucination | Human | Unknown person(s),Auditory hallucination,Human,Unknown person(s),2,False,True,B_ONLY
Brugmansia_10_S03_AB,Brugmansia_10,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_10_S03_AB,Brugmansia_10,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_10_S03_AB,Brugmansia_10,brugmansia,01-10,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,True,AGREE
Brugmansia_10_S04_AB,Brugmansia_10,brugmansia,01-10,auditory_hallucination_human_relatives_acquaintances,"Auditory hallucination | Human | Relative(s), acquaintance(s)",Auditory hallucination,Human,"Relative(s), acquaintance(s)",2,False,True,B_ONLY
Brugmansia_10_S04_AB,Brugmansia_10,brugmansia,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_10_S04_AB,Brugmansia_10,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_10_S04_AB,Brugmansia_10,brugmansia,01-10,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",2,True,True,AGREE
Brugmansia_11_S01_AB,Brugmansia_11,brugmansia,11-20,auditory_hallucination_human_relatives_acquaintances,"Auditory hallucination | Human | Relative(s), acquaintance(s)",Auditory hallucination,Human,"Relative(s), acquaintance(s)",2,True,False,A_ONLY
Brugmansia_11_S01_AB,Brugmansia_11,brugmansia,11-20,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,True,AGREE
Brugmansia_11_S01_AB,Brugmansia_11,brugmansia,11-20,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,1,True,True,AGREE
Brugmansia_11_S01_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",2,True,True,AGREE
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,False,True,B_ONLY
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,nonsensory_hallucination_extraordinary_entity,Nonsensory hallucination | Extraordinary entity,Nonsensory hallucination,Extraordinary entity,,1,True,False,A_ONLY
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,tactile_hallucination_extraordinary_entity,Tactile hallucination | Extraordinary entity,Tactile hallucination,Extraordinary entity,,1,False,True,B_ONLY
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,1,False,True,B_ONLY
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_artefact_city_building_furniture,"Visual hallucination | Artefact | City, building, furniture",Visual hallucination,Artefact,"City, building, furniture",2,True,False,A_ONLY
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_inorganic_entity_other,Visual hallucination | Inorganic entity | Other,Visual hallucination,Inorganic entity,Other,2,True,False,A_ONLY
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination | Possible but improbable event,Modal status of the hallucination,Possible but improbable event,,1,False,True,B_ONLY
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,1,True,True,AGREE
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_artefact_city_building_furniture,"Visual hallucination | Artefact | City, building, furniture",Visual hallucination,Artefact,"City, building, furniture",2,True,False,A_ONLY
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,1,True,False,A_ONLY
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_inorganic_entity_other,Visual hallucination | Inorganic entity | Other,Visual hallucination,Inorganic entity,Other,2,True,False,A_ONLY
Brugmansia_11_S04_AB,Brugmansia_11,brugmansia,11-20,auditory_hallucination_inorganic_entity_other,Auditory hallucination | Inorganic entity | Other,Auditory hallucination,Inorganic entity,Other,2,True,True,AGREE
Brugmansia_11_S04_AB,Brugmansia_11,brugmansia,11-20,tactile_hallucination_inorganic_entity,Tactile hallucination | Inorganic entity,Tactile hallucination,Inorganic entity,,1,True,False,A_ONLY
Brugmansia_11_S04_AB,Brugmansia_11,brugmansia,11-20,visual_hallucination_inorganic_entity_other,Visual hallucination | Inorganic entity | Other,Visual hallucination,Inorganic entity,Other,2,True,True,AGREE
Brugmansia_12_S01_AB,Brugmansia_12,brugmansia,11-20,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,1,True,False,A_ONLY
Brugmansia_12_S01_AB,Brugmansia_12,brugmansia,11-20,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,False,True,B_ONLY
Brugmansia_12_S01_AB,Brugmansia_12,brugmansia,11-20,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
