code_id,scene_id,trip_id,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,excerpt
C000048,Brugmansia_03_S01_AB,Brugmansia_03,A,Brendan,visual_hallucination_animal_other,Visual hallucination | Animal | Other,Visual hallucination,Animal,Other,True,
C000049,Brugmansia_03_S01_AB,Brugmansia_03,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000050,Brugmansia_03_S01_AB,Brugmansia_03,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000051,Brugmansia_03_S02_AB,Brugmansia_03,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000052,Brugmansia_03_S02_AB,Brugmansia_03,A,Brendan,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",True,
C000053,Brugmansia_03_S02_AB,Brugmansia_03,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000054,Brugmansia_03_S02_AB,Brugmansia_03,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000055,Brugmansia_03_S03_AB,Brugmansia_03,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000056,Brugmansia_03_S03_AB,Brugmansia_03,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,
C000057,Brugmansia_03_S03_AB,Brugmansia_03,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000058,Brugmansia_03_S03_AB,Brugmansia_03,B,Noah,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,
C000059,,Brugmansia_03,A,Brendan,amnesia,Amnesia,Amnesia,,,False,amnesia started to slip up on me; I would forget where I had just come from
C000060,,Brugmansia_03,B,Noah,amnesia,Amnesia,Amnesia,,,False,every 15-20 min to go to the bathroom; would forget where I had just come from
C000061,,Brugmansia_03,B,Noah,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,"took a silver cake mix bowl, stuffed an Alcopolco blanket in it, started to eat it with fork and knife"
C000062,Brugmansia_04_S01_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,
C000063,Brugmansia_04_S01_AB,Brugmansia_04,A,Brendan,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),True,
C000064,Brugmansia_04_S01_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000065,Brugmansia_04_S01_AB,Brugmansia_04,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
