column_name,scope,item_id,level_1,level_2,level_3,depth,is_leaf,is_scene_level,is_trip_level
attr__amnesia,trip,amnesia,Amnesia,,,0,True,False,True
attr__domain_specific_violation__biological_projection,trip,domain_specific_violation_biological_projection,Domain-specific violation,Biological projection,,1,True,False,True
attr__domain_specific_violation__psychological_projection,trip,domain_specific_violation_psychological_projection,Domain-specific violation,Psychological projection,,1,True,False,True
attr__emotion__positive_emotion,trip,emotion_positive_emotion,Emotion,Positive emotion,,1,True,False,True
attr__emotion__negative_emotion,trip,emotion_negative_emotion,Emotion,Negative emotion,,1,True,False,True
attr__arousal__abnormally_high,trip,arousal_abnormally_high,Arousal,Abnormally high,,1,True,False,True
attr__arousal__abnormally_low,trip,arousal_abnormally_low,Arousal,Abnormally low,,1,True,False,True
attr__out_of_body_experience,trip,out_of_body_experience,Out-of-body-experience,,,0,True,False,True
attr__own_body_distortion,trip,own_body_distortion,Own body distortion,,,0,True,False,True
attr__insight__metaphysical,trip,insight_metaphysical,Insight,Metaphysical,,1,True,False,True
attr__insight__religious,trip,insight_religious,Insight,Religious,,1,True,False,True
attr__insight__practical,trip,insight_practical,Insight,Practical,,1,True,False,True
attr__insight__existential,trip,insight_existential,Insight,Existential,,1,True,False,True
attr__ego_dissolution__social_self,trip,ego_dissolution_social_self,Ego dissolution,Social self,,1,True,False,True
attr__ego_dissolution__bodily_self,trip,ego_dissolution_bodily_self,Ego dissolution,Bodily self,,1,True,False,True
attr__ego_dissolution__core_self,trip,ego_dissolution_core_self,Ego dissolution,Core self,,1,True,False,True
attr__sense_of_surprise_and_unexpectedness,trip,sense_of_surprise_and_unexpectedness,Sense of surprise and unexpectedness,,,0,True,False,True
attr__sense_of_strangeness_and_enigma,trip,sense_of_strangeness_and_enigma,Sense of strangeness and enigma,,,0,True,False,True
