code_id,scene_id,original_scene_id,trip_id,substance,block,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,scope_normalised,trip_level_multiplicity,excerpt,scene_rater_status,scene_verdict,scene_verdict_flavour,scene_canonical_desc,scene_span_start,scene_span_end
C000056,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000057,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000058,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,B,Noah,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000059,,,Brugmansia_03,brugmansia,01-10,A,Brendan,amnesia,Amnesia,Amnesia,,,False,False,1,amnesia started to slip up on me; I would forget where I had just come from,,,,,,
C000060,,,Brugmansia_03,brugmansia,01-10,B,Noah,amnesia,Amnesia,Amnesia,,,False,False,1,every 15-20 min to go to the bathroom; would forget where I had just come from,,,,,,
C000061,,,Brugmansia_03,brugmansia,01-10,B,Noah,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,False,1,"took a silver cake mix bowl, stuffed an Alcopolco blanket in it, started to eat it with fork and knife",,,,,,
C000062,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000063,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000064,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000065,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000066,Brugmansia_04_S02_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Green/yellow waves of light on ceiling; doily patterns; pink/green/blue drops on walls,1986,2200
C000067,Brugmansia_04_S02_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,True,False,1,,both,CONVERGENT,,Green/yellow waves of light on ceiling; doily patterns; pink/green/blue drops on walls,1986,2200
C000068,Brugmansia_04_S03_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Washcloth in shower appears as torn piece of face with eye still in socket,3342,3700
C000069,Brugmansia_04_S03_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Washcloth in shower appears as torn piece of face with eye still in socket,3342,3700
C000070,Brugmansia_04_S04_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Screw in shower ceiling grows legs and sniffs around; looks like a spider,3820,4180
C000071,Brugmansia_04_S04_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Screw in shower ceiling grows legs and sniffs around; looks like a spider,3820,4180
C000072,Brugmansia_04_S04_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,False,1,,both,CONVERGENT,,Screw in shower ceiling grows legs and sniffs around; looks like a spider,3820,4180
C000073,Brugmansia_04_S05_A_RCL,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,only_A,AMBIGUITY,2a,Hands look red in the shower (like niacin flush),4185,4275
C000074,Brugmansia_04_S06_A_RCL,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,only_A,MISS,,"Writing on shower wall: 'you are not...', fades when approached",4346,4580
C000075,Brugmansia_04_S06_A_RCL,,Brugmansia_04,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,only_A,MISS,,"Writing on shower wall: 'you are not...', fades when approached",4346,4580
C000076,Brugmansia_04_S07_B_RCL,,Brugmansia_04,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,False,1,,only_B,AMBIGUITY,2a,Lying on bed watching 'all sorts of things' fly by,5202,5270
C000077,Brugmansia_04_S08_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Sees smoke and an imagined burning cigarette on desk; reaches for it repeatedly,6253,6600
C000078,Brugmansia_04_S08_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",True,False,1,,both,CONVERGENT,,Sees smoke and an imagined burning cigarette on desk; reaches for it repeatedly,6253,6600
C000079,Brugmansia_04_S08_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Sees smoke and an imagined burning cigarette on desk; reaches for it repeatedly,6253,6600
C000080,Brugmansia_04_S08_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Sees smoke and an imagined burning cigarette on desk; reaches for it repeatedly,6253,6600
C000081,Brugmansia_04_S09_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,auditory_hallucination_artefact_other,Auditory hallucination | Artefact | Other,Auditory hallucination,Artefact,Other,True,False,1,,both,CONVERGENT,,Hallucinated music playing from his stereo / radio,6677,7200
C000082,Brugmansia_04_S09_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Hallucinated music playing from his stereo / radio,6677,7200
C000083,Brugmansia_04_S09_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,auditory_hallucination_artefact_other,Auditory hallucination | Artefact | Other,Auditory hallucination,Artefact,Other,True,False,1,,both,CONVERGENT,,Hallucinated music playing from his stereo / radio,6677,7200
C000084,Brugmansia_04_S10_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Sherlock Holmes standing at his bedroom door when he opens it,6853,6970
C000085,Brugmansia_04_S10_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,visual_hallucination_human_celebrityies,Visual hallucination | Human | Celebrity(ies),Visual hallucination,Human,Celebrity(ies),True,False,1,,both,CONVERGENT,,Sherlock Holmes standing at his bedroom door when he opens it,6853,6970
C000086,Brugmansia_04_S10_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,False,1,,both,CONVERGENT,,Sherlock Holmes standing at his bedroom door when he opens it,6853,6970
C000087,Brugmansia_04_S10_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,visual_hallucination_human_historical_figures,Visual hallucination | Human | Historical figure(s),Visual hallucination,Human,Historical figure(s),True,False,1,,both,CONVERGENT,,Sherlock Holmes standing at his bedroom door when he opens it,6853,6970
C000088,Brugmansia_04_S11_A_RCL,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,only_A,MISS,,Text on screen turns into shifting colours,7410,7550
C000089,Brugmansia_04_S12_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,A spider builds a web across the bottom of his monitor; disappears when looked at,7978,8200
C000090,Brugmansia_04_S12_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,False,1,,both,CONVERGENT,,A spider builds a web across the bottom of his monitor; disappears when looked at,7978,8200
