bin_id,trip_id,bin_span_start,bin_span_end,bin_status,n_scenes_in_bin,n_both_scenes,n_only_A_scenes,n_only_B_scenes,granularity_recovered,chunking_split,member_scene_ids
Brugmansia_18_B089,Brugmansia_18,3424,3610,only_B,1,0,0,1,False,False,Brugmansia_18_S05_B
Brugmansia_18_B090,Brugmansia_18,4017,4500,only_B,1,0,0,1,False,False,Brugmansia_18_S06_B
Brugmansia_19_B091,Brugmansia_19,737,900,both,1,1,0,0,False,False,Brugmansia_19_S01_AB
Brugmansia_19_B092,Brugmansia_19,946,1040,both,1,1,0,0,False,False,Brugmansia_19_S02_AB
Brugmansia_20_B093,Brugmansia_20,774,900,only_B,1,0,0,1,False,False,Brugmansia_20_S01_B
Brugmansia_20_B094,Brugmansia_20,912,975,only_A,1,0,1,0,False,False,Brugmansia_20_S02_A
Brugmansia_20_B095,Brugmansia_20,1036,1200,both,1,1,0,0,False,False,Brugmansia_20_S03_AB
Brugmansia_20_B096,Brugmansia_20,1564,1650,only_B,1,0,0,1,False,False,Brugmansia_20_S04_B
Brugmansia_20_B097,Brugmansia_20,1658,2270,both,1,1,0,0,False,False,Brugmansia_20_S05_AB
Brugmansia_20_B098,Brugmansia_20,2273,2330,only_A,1,0,1,0,False,False,Brugmansia_20_S06_A
Brugmansia_20_B099,Brugmansia_20,3079,3230,both,1,1,0,0,False,False,Brugmansia_20_S07_AB
Brugmansia_20_B100,Brugmansia_20,3513,3700,both,1,1,0,0,False,False,Brugmansia_20_S08_AB
Brugmansia_20_B101,Brugmansia_20,3812,4020,both,1,1,0,0,False,False,Brugmansia_20_S09_AB
Brugmansia_20_B102,Brugmansia_20,4028,4220,only_A,1,0,1,0,False,False,Brugmansia_20_S10_A
Psilocybe_01_B103,Psilocybe_01,451,700,both,1,1,0,0,False,False,Psilocybe_01_S01_AB
Psilocybe_01_B104,Psilocybe_01,895,1200,both,1,1,0,0,False,False,Psilocybe_01_S02_AB
Psilocybe_01_B105,Psilocybe_01,1300,1520,only_A,1,0,1,0,False,False,Psilocybe_01_S03_A
Psilocybe_01_B106,Psilocybe_01,1980,2900,both,2,2,0,0,False,False,Psilocybe_01_S04_AB;Psilocybe_01_S05_AB
Psilocybe_01_B107,Psilocybe_01,3240,3560,only_A,1,0,1,0,False,False,Psilocybe_01_S06_A
Psilocybe_01_B108,Psilocybe_01,4550,4620,only_A,1,0,1,0,False,False,Psilocybe_01_S07_A
Psilocybe_01_B109,Psilocybe_01,6771,6960,both,1,1,0,0,False,False,Psilocybe_01_S08_AB
Psilocybe_01_B110,Psilocybe_01,9742,10000,only_A,1,0,1,0,False,False,Psilocybe_01_S09_A
Psilocybe_02_B111,Psilocybe_02,308,380,only_A,1,0,1,0,False,False,Psilocybe_02_S01_A
Psilocybe_02_B112,Psilocybe_02,480,800,both,1,1,0,0,False,False,Psilocybe_02_S02_AB
